nohup: ignoring input
Step 1: Waiting for training to complete...
Tue Mar 17 09:16:31 IST 2026: Training 2/18
Tue Mar 17 09:21:32 IST 2026: Training 2/18
Tue Mar 17 09:26:32 IST 2026: Training 2/18
Tue Mar 17 09:31:32 IST 2026: Training 2/18
Tue Mar 17 09:36:32 IST 2026: Training 2/18
Tue Mar 17 09:41:32 IST 2026: Training 2/18
Tue Mar 17 09:46:32 IST 2026: Training 2/18
Tue Mar 17 09:51:32 IST 2026: Training 2/18
Tue Mar 17 09:56:32 IST 2026: Training 2/18
Tue Mar 17 10:01:32 IST 2026: Training 2/18
Tue Mar 17 10:06:32 IST 2026: Training 2/18
Tue Mar 17 10:11:32 IST 2026: Training 2/18
Tue Mar 17 10:16:33 IST 2026: Training 2/18
Tue Mar 17 10:21:33 IST 2026: Training 2/18
Tue Mar 17 10:26:33 IST 2026: Training 2/18
Tue Mar 17 10:31:33 IST 2026: Training 2/18
Tue Mar 17 10:36:33 IST 2026: Training 2/18
Tue Mar 17 10:41:33 IST 2026: Training 2/18
Tue Mar 17 10:46:33 IST 2026: Training 2/18
Tue Mar 17 10:51:33 IST 2026: Training 2/18
Tue Mar 17 10:56:33 IST 2026: Training 2/18
Tue Mar 17 11:01:33 IST 2026: Training 2/18
Tue Mar 17 11:06:55 IST 2026: Training 2/18
Tue Mar 17 11:11:55 IST 2026: Training 2/18
Tue Mar 17 11:16:55 IST 2026: Training 2/18
Tue Mar 17 11:21:55 IST 2026: Training 2/18
Tue Mar 17 11:26:55 IST 2026: Training 2/18
Tue Mar 17 11:31:55 IST 2026: Training 2/18
Tue Mar 17 11:36:55 IST 2026: Training 2/18
Tue Mar 17 11:41:55 IST 2026: Training 2/18
Tue Mar 17 11:46:55 IST 2026: Training 2/18
Tue Mar 17 11:51:55 IST 2026: Training 2/18
Tue Mar 17 11:56:56 IST 2026: Training 2/18
Tue Mar 17 12:02:15 IST 2026: Training 2/18
Tue Mar 17 12:07:15 IST 2026: Training 2/18
Tue Mar 17 12:12:15 IST 2026: Training 2/18
Tue Mar 17 12:17:15 IST 2026: Training 2/18
Tue Mar 17 12:22:19 IST 2026: Training 2/18
Tue Mar 17 12:27:19 IST 2026: Training 2/18
Tue Mar 17 12:32:20 IST 2026: Training 2/18
Tue Mar 17 12:37:20 IST 2026: Training 2/18
Tue Mar 17 12:42:20 IST 2026: Training 2/18
Tue Mar 17 12:47:20 IST 2026: Training 2/18
Tue Mar 17 12:53:29 IST 2026: Training 2/18
Tue Mar 17 12:58:29 IST 2026: Training 2/18
Tue Mar 17 13:03:29 IST 2026: Training 2/18
Tue Mar 17 13:08:29 IST 2026: Training 2/18
Tue Mar 17 13:13:29 IST 2026: Training 2/18
Tue Mar 17 13:18:29 IST 2026: Training 2/18
Tue Mar 17 13:23:29 IST 2026: Training 2/18
Tue Mar 17 13:28:29 IST 2026: Training 2/18
Tue Mar 17 13:33:30 IST 2026: Training 2/18
Tue Mar 17 13:44:02 IST 2026: Training 2/18
Tue Mar 17 13:49:48 IST 2026: Training 2/18
Tue Mar 17 13:54:48 IST 2026: Training 2/18
Tue Mar 17 14:04:44 IST 2026: Training 2/18
Tue Mar 17 14:14:19 IST 2026: Training 2/18
Tue Mar 17 14:20:39 IST 2026: Training 2/18
Tue Mar 17 14:25:40 IST 2026: Training 2/18
Tue Mar 17 14:30:40 IST 2026: Training 2/18
Tue Mar 17 14:35:40 IST 2026: Training 2/18
Tue Mar 17 14:41:04 IST 2026: Training 2/18
Tue Mar 17 14:48:14 IST 2026: Training 2/18
Tue Mar 17 14:53:14 IST 2026: Training 2/18
Tue Mar 17 14:58:14 IST 2026: Training 2/18
Tue Mar 17 15:03:14 IST 2026: Training 2/18
Tue Mar 17 15:08:14 IST 2026: Training 2/18
Tue Mar 17 15:13:14 IST 2026: Training 2/18
Tue Mar 17 15:18:14 IST 2026: Training 2/18
Tue Mar 17 15:23:15 IST 2026: Training 2/18
Tue Mar 17 15:28:39 IST 2026: Training 2/18
Tue Mar 17 15:33:39 IST 2026: Training 2/18
Tue Mar 17 15:38:39 IST 2026: Training 2/18
Tue Mar 17 15:43:39 IST 2026: Training 2/18
Tue Mar 17 15:48:39 IST 2026: Training 2/18
Tue Mar 17 15:53:39 IST 2026: Training 2/18
Tue Mar 17 15:58:39 IST 2026: Training 2/18
Tue Mar 17 16:03:40 IST 2026: Training 2/18
Tue Mar 17 16:08:40 IST 2026: Training 2/18
Tue Mar 17 16:13:40 IST 2026: Training 2/18
Tue Mar 17 16:18:40 IST 2026: Training 2/18
Tue Mar 17 16:23:40 IST 2026: Training 2/18
Tue Mar 17 16:28:40 IST 2026: Training 2/18
Tue Mar 17 16:33:40 IST 2026: Training 2/18
Tue Mar 17 16:38:40 IST 2026: Training 2/18
Tue Mar 17 16:43:40 IST 2026: Training 2/18
Tue Mar 17 16:48:40 IST 2026: Training 2/18
Tue Mar 17 16:53:41 IST 2026: Training 2/18
Tue Mar 17 16:58:41 IST 2026: Training 2/18
Tue Mar 17 17:03:41 IST 2026: Training 2/18
Tue Mar 17 17:17:03 IST 2026: Training 2/18
Tue Mar 17 17:22:03 IST 2026: Training 2/18
Tue Mar 17 17:27:03 IST 2026: Training 2/18
Tue Mar 17 17:32:03 IST 2026: Training 2/18
Tue Mar 17 17:37:03 IST 2026: Training 2/18
Tue Mar 17 17:42:04 IST 2026: Training 2/18
Tue Mar 17 17:47:04 IST 2026: Training 2/18
Tue Mar 17 17:52:04 IST 2026: Training 2/18
Tue Mar 17 17:57:04 IST 2026: Training 2/18
Tue Mar 17 18:02:04 IST 2026: Training 2/18
Tue Mar 17 18:07:04 IST 2026: Training 2/18
Tue Mar 17 18:12:04 IST 2026: Training 2/18
Tue Mar 17 18:17:04 IST 2026: Training 2/18
Tue Mar 17 18:22:04 IST 2026: Training 2/18
Tue Mar 17 18:27:04 IST 2026: Training 2/18
Tue Mar 17 18:32:05 IST 2026: Training 2/18
Tue Mar 17 18:37:05 IST 2026: Training 2/18
Tue Mar 17 18:42:05 IST 2026: Training 2/18
Tue Mar 17 18:47:05 IST 2026: Training 2/18
Tue Mar 17 18:52:05 IST 2026: Training 2/18
Tue Mar 17 18:57:05 IST 2026: Training 2/18
Tue Mar 17 19:02:05 IST 2026: Training 2/18
Tue Mar 17 19:07:05 IST 2026: Training 2/18
Tue Mar 17 19:14:26 IST 2026: Training 2/18
Tue Mar 17 19:25:05 IST 2026: Training 2/18
Tue Mar 17 19:31:13 IST 2026: Training 2/18
Tue Mar 17 19:36:13 IST 2026: Training 2/18
Tue Mar 17 19:41:13 IST 2026: Training 2/18
Tue Mar 17 19:46:13 IST 2026: Training 2/18
Tue Mar 17 19:51:13 IST 2026: Training 2/18
Tue Mar 17 19:56:13 IST 2026: Training 2/18
Tue Mar 17 20:01:14 IST 2026: Training 2/18
Tue Mar 17 20:06:14 IST 2026: Training 2/18
Tue Mar 17 20:11:14 IST 2026: Training 2/18
Tue Mar 17 20:16:37 IST 2026: Training 2/18
Tue Mar 17 20:21:38 IST 2026: Training 2/18
Tue Mar 17 20:27:02 IST 2026: Training 2/18
Tue Mar 17 20:32:03 IST 2026: Training 2/18
Tue Mar 17 20:37:03 IST 2026: Training 2/18
Tue Mar 17 20:42:03 IST 2026: Training 2/18
Tue Mar 17 20:47:04 IST 2026: Training 2/18
Tue Mar 17 20:52:04 IST 2026: Training 2/18
Tue Mar 17 20:57:04 IST 2026: Training 2/18
Tue Mar 17 21:02:04 IST 2026: Training 2/18
Tue Mar 17 21:07:04 IST 2026: Training 2/18
Tue Mar 17 21:12:04 IST 2026: Training 2/18
Tue Mar 17 21:17:04 IST 2026: Training 2/18
Tue Mar 17 21:22:04 IST 2026: Training 2/18
Tue Mar 17 21:27:04 IST 2026: Training 2/18
Tue Mar 17 21:32:04 IST 2026: Training 2/18
Tue Mar 17 21:37:05 IST 2026: Training 2/18
Tue Mar 17 21:42:05 IST 2026: Training 2/18
Tue Mar 17 21:47:05 IST 2026: Training 2/18
Tue Mar 17 21:52:05 IST 2026: Training 2/18
Tue Mar 17 21:57:05 IST 2026: Training 2/18
Tue Mar 17 22:02:05 IST 2026: Training 2/18
Tue Mar 17 22:07:05 IST 2026: Training 2/18
Tue Mar 17 22:12:05 IST 2026: Training 2/18
Tue Mar 17 22:17:05 IST 2026: Training 2/18
Tue Mar 17 22:22:05 IST 2026: Training 2/18
Tue Mar 17 22:27:06 IST 2026: Training 2/18
Tue Mar 17 22:32:06 IST 2026: Training 2/18
Tue Mar 17 22:37:06 IST 2026: Training 2/18
Tue Mar 17 22:42:06 IST 2026: Training 2/18
Tue Mar 17 22:47:06 IST 2026: Training 2/18
Tue Mar 17 22:52:06 IST 2026: Training 2/18
Tue Mar 17 22:57:06 IST 2026: Training 2/18
Tue Mar 17 23:02:06 IST 2026: Training 2/18
Tue Mar 17 23:07:06 IST 2026: Training 2/18
Tue Mar 17 23:12:07 IST 2026: Training 2/18
Tue Mar 17 23:17:07 IST 2026: Training 2/18
Tue Mar 17 23:22:07 IST 2026: Training 2/18
Tue Mar 17 23:27:07 IST 2026: Training 2/18
Tue Mar 17 23:32:07 IST 2026: Training 2/18
Tue Mar 17 23:37:07 IST 2026: Training 2/18
Tue Mar 17 23:42:07 IST 2026: Training 2/18
Tue Mar 17 23:47:07 IST 2026: Training 2/18
Tue Mar 17 23:52:07 IST 2026: Training 2/18
Tue Mar 17 23:57:07 IST 2026: Training 2/18
Wed Mar 18 00:02:07 IST 2026: Training 2/18
Wed Mar 18 00:07:07 IST 2026: Training 2/18
Wed Mar 18 00:12:07 IST 2026: Training 2/18
Wed Mar 18 00:17:07 IST 2026: Training 2/18
Wed Mar 18 00:22:08 IST 2026: Training 2/18
Wed Mar 18 00:27:08 IST 2026: Training 2/18
Wed Mar 18 00:32:08 IST 2026: Training 2/18
Wed Mar 18 00:37:08 IST 2026: Training 2/18
Wed Mar 18 00:42:08 IST 2026: Training 2/18
Wed Mar 18 00:47:08 IST 2026: Training 2/18
Wed Mar 18 00:52:08 IST 2026: Training 2/18
Wed Mar 18 00:57:08 IST 2026: Training 2/18
Wed Mar 18 01:03:40 IST 2026: Training 2/18
Wed Mar 18 01:08:40 IST 2026: Training 2/18
Wed Mar 18 01:13:40 IST 2026: Training 2/18
Wed Mar 18 01:18:40 IST 2026: Training 2/18
Wed Mar 18 01:23:41 IST 2026: Training 2/18
Wed Mar 18 01:28:41 IST 2026: Training 2/18
Wed Mar 18 01:33:41 IST 2026: Training 2/18
Wed Mar 18 01:38:41 IST 2026: Training 2/18
Wed Mar 18 01:43:41 IST 2026: Training 2/18
Wed Mar 18 01:48:41 IST 2026: Training 2/18
Wed Mar 18 01:53:41 IST 2026: Training 2/18
Wed Mar 18 01:58:41 IST 2026: Training 2/18
Wed Mar 18 02:03:41 IST 2026: Training 2/18
Wed Mar 18 02:08:41 IST 2026: Training 2/18
Wed Mar 18 02:13:41 IST 2026: Training 2/18
Wed Mar 18 02:18:41 IST 2026: Training 2/18
Wed Mar 18 02:23:41 IST 2026: Training 2/18
Wed Mar 18 02:28:41 IST 2026: Training 2/18
Wed Mar 18 02:33:42 IST 2026: Training 2/18
Wed Mar 18 02:38:42 IST 2026: Training 2/18
Wed Mar 18 02:43:42 IST 2026: Training 2/18
Wed Mar 18 02:48:42 IST 2026: Training 2/18
Wed Mar 18 02:53:42 IST 2026: Training 2/18
Wed Mar 18 02:58:42 IST 2026: Training 2/18
Wed Mar 18 03:03:42 IST 2026: Training 2/18
Wed Mar 18 03:08:42 IST 2026: Training 2/18
Wed Mar 18 03:13:42 IST 2026: Training 2/18
Wed Mar 18 03:18:42 IST 2026: Training 2/18
Wed Mar 18 03:23:42 IST 2026: Training 2/18
Wed Mar 18 03:28:42 IST 2026: Training 2/18
Wed Mar 18 03:33:42 IST 2026: Training 2/18
Wed Mar 18 03:38:42 IST 2026: Training 2/18
Wed Mar 18 03:43:43 IST 2026: Training 2/18
Wed Mar 18 03:48:43 IST 2026: Training 2/18
